feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,seed,val_mse,final_reward,train_time_sec
no_history,0.0003,1024,"(128, 128)",0.2,0.2,256,0,5313.9937,68.06483448522694,103.40685299999313
no_history,0.0003,1024,"(128, 128)",0.2,0.2,256,1,7000.248,72.49167367650263,103.22644904104527
no_history,0.0003,1024,"(128, 128)",0.2,0.2,256,2,5271.062,66.97088363406678,102.42168525001034
no_history,0.0003,1024,"(128, 128)",0.2,0.5,512,0,6136.691,191.7308230043671,102.5156172089628
no_history,0.0003,1024,"(128, 128)",0.2,0.5,512,1,8432.439,188.76519695272623,102.66411504102871
no_history,0.0003,1024,"(128, 128)",0.2,0.5,512,2,4552.164,188.70426702065484,102.3592751249671
no_history,0.0003,1024,"(128, 128)",0.2,0.5,256,0,4633.718,93.40316940021472,102.61646870797267
no_history,0.0003,1024,"(128, 128)",0.2,0.5,256,1,8202.787,91.71801191859932,102.74667695804965
no_history,0.0003,1024,"(128, 128)",0.2,0.5,256,2,4840.6084,95.64823573351939,102.40442408301169
no_history,0.0003,1024,"(128, 128)",0.1,0.2,512,0,5293.88,132.7751528480661,102.9008245409932
no_history,0.0003,1024,"(128, 128)",0.1,0.2,512,1,5605.3438,134.9274869497393,105.47595312498743
no_history,0.0003,1024,"(128, 128)",0.1,0.2,512,2,6565.317,134.2017415410186,105.54103508300614
no_history,0.0003,1024,"(128, 128)",0.1,0.2,256,0,6822.8135,68.04073693990048,105.79574624996167
no_history,0.0003,1024,"(128, 128)",0.1,0.2,256,1,6505.668,63.571206807966554,105.8391987500363
no_history,0.0003,1024,"(128, 128)",0.1,0.2,256,2,5285.4165,64.47661032327719,105.55173808301333
no_history,0.0003,1024,"(128, 128)",0.1,0.5,512,0,5151.076,190.0476089297088,105.5963918340276
no_history,0.0003,1024,"(128, 128)",0.1,0.5,512,1,5608.3154,185.22096706930444,105.75007558299694
no_history,0.0003,1024,"(128, 128)",0.1,0.5,512,2,4338.515,188.29212072408743,105.50868012499996
no_history,0.0003,1024,"(128, 128)",0.1,0.5,256,0,6122.012,94.20941045740025,105.61736899998505
no_history,0.0003,1024,"(128, 128)",0.1,0.5,256,1,6891.175,92.81719374145105,105.80810991697945
no_history,0.0003,1024,"(128, 128)",0.1,0.5,256,2,5941.413,96.45396629023176,105.76135683298344
no_history,0.0003,1024,"(256, 256)",0.2,0.2,512,0,4405.2563,141.46933492556172,105.94222008396173
